,country,place,song_name,song_id,views
0,37i9dQZEVXbK4fwx2r07XW,1,good 4 u,4ZtFanR9U6ndgddUvNcjcG,3972048
1,37i9dQZEVXbK4fwx2r07XW,2,deja vu,6HU7h9RYOaPRFeh0R3UeAr,1848125
2,37i9dQZEVXbK4fwx2r07XW,3,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,1790316
3,37i9dQZEVXbK4fwx2r07XW,4,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",6uvMKqNlrSvcC4NaKnrwjZ,1592036
4,37i9dQZEVXbK4fwx2r07XW,5,drivers license,5wANPM4fQCJwkGd4rN57mH,1490199
5,37i9dQZEVXbK4fwx2r07XW,6,traitor,5CZ40GBx1sQ9agT82CLQCT,1404042
6,37i9dQZEVXbK4fwx2r07XW,7,Heat Waves,02MWAaffLxlfxAUY7c5dvx,1251034
7,37i9dQZEVXbK4fwx2r07XW,8,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,1246943
8,37i9dQZEVXbK4fwx2r07XW,9,brutal,6SRsiMl7w1USE4mFqrOhHC,1229763
9,37i9dQZEVXbK4fwx2r07XW,10,Astronaut In The Ocean,3VT8hOC5vuDXBsHrR53WFh,1155663
10,37i9dQZEVXbK4fwx2r07XW,11,enough for you,2TOzTqQXNmR2zDJXihjZ2e,1142031
11,37i9dQZEVXbK4fwx2r07XW,12,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,1071040
12,37i9dQZEVXbK4fwx2r07XW,13,happier,2tGvwE8GcFKwNdAXMnlbfl,1063517
13,37i9dQZEVXbK4fwx2r07XW,14,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,1052315
14,37i9dQZEVXbK4fwx2r07XW,15,favorite crime,5JCoSi02qi3jJeHdZXMmR8,1035182
15,37i9dQZEVXbK4fwx2r07XW,16,"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg,1026148
16,37i9dQZEVXbK4fwx2r07XW,17,Butter,3VqeTFIvhxu3DIe4eZVzGq,971369
17,37i9dQZEVXbK4fwx2r07XW,18,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,962366
18,37i9dQZEVXbK4fwx2r07XW,19,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,932811
19,37i9dQZEVXbK4fwx2r07XW,20,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,913864
20,37i9dQZEVXbK4fwx2r07XW,21,hope ur ok,1zejeOnykpCoyVSit6Bwp3,836038
21,37i9dQZEVXbK4fwx2r07XW,22,The Business,6f3Slt0GbA2bPZlz0aIFXN,831274
22,37i9dQZEVXbK4fwx2r07XW,23,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,773624
23,37i9dQZEVXbK4fwx2r07XW,24,Cover Me In Sunshine,0UKUfxIkDAMZz7hMdiVX3m,749794
24,37i9dQZEVXbK4fwx2r07XW,25,BED,0siYMEsGrzzzlWLXK5zJfS,735634
25,37i9dQZEVXbK4fwx2r07XW,26,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,716828
26,37i9dQZEVXbK4fwx2r07XW,27,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,699278
27,37i9dQZEVXbK4fwx2r07XW,28,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,680581
28,37i9dQZEVXbK4fwx2r07XW,29,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,671991
29,37i9dQZEVXbK4fwx2r07XW,30,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,667186
30,37i9dQZEVXbK4fwx2r07XW,31,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,645900
31,37i9dQZEVXbK4fwx2r07XW,32,Your Power,5qNh5WtzMbfpSj2jLlBkoD,633678
32,37i9dQZEVXbK4fwx2r07XW,33,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,626236
33,37i9dQZEVXbK4fwx2r07XW,34,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,618256
34,37i9dQZEVXbK4fwx2r07XW,35,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,614089
35,37i9dQZEVXbK4fwx2r07XW,36,Hold On,1nahzW3kfMuwReTka28tH5,585307
36,37i9dQZEVXbK4fwx2r07XW,37,a m a r i,2cnKST6T9qUo2i907lm8zX,571643
37,37i9dQZEVXbK4fwx2r07XW,38,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,544463
38,37i9dQZEVXbK4fwx2r07XW,39,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,531255
39,37i9dQZEVXbK4fwx2r07XW,40,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,527744
40,37i9dQZEVXbK4fwx2r07XW,41,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,526154
41,37i9dQZEVXbK4fwx2r07XW,42,SO DONE,2gqWRRCXnma9L8xQ1RdemQ,521108
42,37i9dQZEVXbK4fwx2r07XW,43,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,505313
43,37i9dQZEVXbK4fwx2r07XW,44,Up,1M4OcYkxAtu3ErzSgDEfoi,498632
44,37i9dQZEVXbK4fwx2r07XW,45,Streets,60ynsPSSKe6O3sfwRnIBRf,491312
45,37i9dQZEVXbK4fwx2r07XW,46,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,488803
46,37i9dQZEVXbK4fwx2r07XW,47,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,475528
47,37i9dQZEVXbK4fwx2r07XW,48,We're Good,1diS6nkxMQc3wwC4G1j0bh,468866
48,37i9dQZEVXbK4fwx2r07XW,49,Runaway,1v1oIWf2Xgh54kIWuKsDf6,459253
49,37i9dQZEVXbK4fwx2r07XW,50,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,448253
0,37i9dQZEVXbM1EaZ0igDlz,1,good 4 u,4ZtFanR9U6ndgddUvNcjcG,349610
1,37i9dQZEVXbM1EaZ0igDlz,2,ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,213943
2,37i9dQZEVXbM1EaZ0igDlz,3,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,185951
3,37i9dQZEVXbM1EaZ0igDlz,4,Vielen Dank,4xN9cgMVhYyhnugUFZdhcZ,185421
4,37i9dQZEVXbM1EaZ0igDlz,5,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,171220
5,37i9dQZEVXbM1EaZ0igDlz,6,Ich darf das,4txsSBdT4yVJtUj41YaQEB,169409
6,37i9dQZEVXbM1EaZ0igDlz,7,Liege wieder wach,2knDuFWczh1Wv92eBAdPTa,153395
7,37i9dQZEVXbM1EaZ0igDlz,8,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,148021
8,37i9dQZEVXbM1EaZ0igDlz,9,Extasy,79lc69ZXfL4WmJIzVSDmWT,140063
9,37i9dQZEVXbM1EaZ0igDlz,10,Butter,3VqeTFIvhxu3DIe4eZVzGq,136937
10,37i9dQZEVXbM1EaZ0igDlz,11,Cover Me In Sunshine,0UKUfxIkDAMZz7hMdiVX3m,133439
