region,position,song_name,song_id,views,duration_ms,popularity,artist_name,artist_id,album_name,album_id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Global,19,ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,21154636,194786,84,Måneskin,0lAWpj5szCSwM4rUMHYmrr,Teatro d'ira - Vol. I,7KF1Ain9mYYlg5M46g0i4A,2021-03-19,0.625,0.939,4,-3.115,0,0.0669,0.00138,0.0,0.424,0.644,102.999,"['indie rock italiano', 'italian pop']"
Global,20,Pareja Del Año,2rCbl9naJYhaxjLsfx88uM,20460436,195053,94,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Pareja Del Año,202FLmfHxcvLHPiqmAjWyJ,2021-04-16,0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.808,80.015,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']"
Global,21,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,19854591,165925,95,Polo G,6AgTAQt8XS6jRWi4sX7w49,RAPSTAR,0SVzFcpsByITKgURaxXdsV,2021-04-09,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,['chicago rap']
Global,22,hope ur ok,1zejeOnykpCoyVSit6Bwp3,19533407,209560,87,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253,['pop']
Global,23,Dynamite,4saklk6nie3yiGePpBwUoc,19475201,199053,91,BTS,3Nrfpe0tUJi4K4DXYWgMUX,BE,2qehskW9lYGWfYb0xPZkrS,2020-11-20,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,"['k-pop', 'k-pop boy group']"
['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop'],['pop']
Global,25,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,18204986,191013,94,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Save Your Tears (Remix),2fyOpT5c9kxR8zbDh6UtXh,2021-04-23,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Global,26,Am,2dNhNlpZAtV4lwAFW45LIv,17946106,182496,93,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,AM,3dGUvydBX9qhg2YBMsVope,2021-01-28,0.83,0.517,6,-6.416,0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,"['latin', 'reggaeton', 'trap latino']"
Global,27,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,17117733,169153,94,Riton,7i9j813KFoSBMldGqlh2Z1,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],39qsmsNRXjVaFqTZj9af0j,2021-01-15,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']"
Global,28,Todo De Ti,4fSIb4hdOQ151TILNsSEaF,16896242,202770,90,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Todo De Ti,3zjKITMp5FHj5aqtWWXrxH,2021-05-20,0.808,0.626,3,-4.577,0,0.0353,0.397,0.00584,0.102,0.569,127.955,"['puerto rican pop', 'trap latino']"
Global,29,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,16738448,200040,94,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Global,30,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",6uvMKqNlrSvcC4NaKnrwjZ,16358920,278085,91,Tion Wayne,7b79bQFziJFedJb75k6hFt,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",3ucQ8ogD2Li2U0rwkrdwlx,2021-04-22,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,"['london rap', 'uk hip hop']"
Global,31,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,14659346,198370,92,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,TAKE TIME,1zHR48K6XtWYm6bhrw4J6C,2020-03-27,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,"['pop', 'r&b']"
