,country,place,song_name,song_id,views
71,Australia,22,The Business,6f3Slt0GbA2bPZlz0aIFXN,831274
72,Australia,23,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,773624
73,Australia,24,Cover Me In Sunshine,0UKUfxIkDAMZz7hMdiVX3m,749794
74,Australia,25,BED,0siYMEsGrzzzlWLXK5zJfS,735634
75,Australia,26,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,716828
76,Australia,27,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,699278
77,Australia,28,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,680581
78,Australia,29,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,671991
79,Australia,30,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,667186
80,Australia,31,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,645900
81,Australia,32,Your Power,5qNh5WtzMbfpSj2jLlBkoD,633678
82,Australia,33,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,626236
83,Australia,34,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,618256
84,Australia,35,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,614089
85,Australia,36,Hold On,1nahzW3kfMuwReTka28tH5,585307
86,Australia,37,a m a r i,2cnKST6T9qUo2i907lm8zX,571643
87,Australia,38,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,544463
88,Australia,39,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,531255
89,Australia,40,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,527744
90,Australia,41,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,526154
91,Australia,42,SO DONE,2gqWRRCXnma9L8xQ1RdemQ,521108
92,Australia,43,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,505313
93,Australia,44,Up,1M4OcYkxAtu3ErzSgDEfoi,498632
94,Australia,45,Streets,60ynsPSSKe6O3sfwRnIBRf,491312
